zip,cost of living index
98133,1
98119,1
98042,1
98008,0.9981
98052,0.9974
98115,1
98038,0.9994
98045,0.9987
98155,1
98105,1
98074,0.9981
98106,1
98007,0.9974
98092,1.0006
98198,1.0006
98006,0.9981
98102,1
98011,0.9987
98125,1
98003,1.0013
98136,1
98033,0.9981
98029,0.9981
98117,1
98034,0.9987
98072,0.9981
98023,1.0013
98107,1
98166,1.0006
98116,1
98024,0.9987
98055,1.0006
98077,0.9987
98027,0.9987
98059,1
98075,0.9981
98014,0.9987
98065,0.9981
98199,1
98053,0.9987
98058,1
98122,1
98103,1
98112,1
98005,0.9981
98118,1
98177,0.9994
98004,0.9981
98019,0.9987
98144,1
98168,1.0026
98001,1.0006
98056,1.0006
98146,1.0006
98028,0.9994
98148,1.0006
98057,1.0006
98040,0.9994
98010,0.9994
98051,0.9994
98031,1.0006
98109,1
98030,1.0006
98126,1
98032,1.0013
98178,1.0019
98288,0.9987
98108,1
98070,0.9981
98188,1.0013
98002,1.0013
98039,0.9987
98022,0.9994
98068,0.9994
98047,1.0006
98050,1.0006
98354,0.6989
